dep,arr
대구한진[801],평택시외[178]
대구한진[801],홍대조치원[354]
대구중앙[804],광주 [500]
대구중앙[804],수원 [110]
대구중앙[804],안동 [840]
대구중앙[804],영주 [835]
대구중앙[804],용인 [150]
대구중앙[804],제천 [450]
대구중앙[804],진주 [722]
대구중앙[804],춘천 [250]
대구중앙[804],홍대조치원[354]
동해 [210],서울경부[010]
동해 [210],횡성(휴)상행[239]
동해 [210],홍대조치원[354]
마산 [705],광주 [500]
마산 [705],대구동양[802]
마산 [705],대전복합[300]
마산 [705],
마산 [705],서대구 [805]
마산 [705],서울경부[010]
마산 [705],선산(휴)상행[813]
마산 [705],성남(분당)[120]
마산 [705],세종시 [352]
마산 [705],용인 [150]
마산 [705],용인신갈[111]
마산 [705],파주문산[045]
마산 [705],파주운정[046]
목포 [505],구미 [810]
목포 [505],대구동양[802]
목포 [505],서울 [020]
목포 [505],수원 [110]
목포 [505],인천 [100]
목포 [505],인천공항[105]
목포 [505],정안(휴)상행[316]
문장 [584],서울 [020]
밀양 [750],서울경부[010]
벌교 [555],서울 [020]
벌교 [555],정안(휴)상행[316]
보성 [554],서울 [020]
보성 [554],정안(휴)상행[316]
부산 [700],경주 [815]
부산 [700],광주 [500]
부산 [700],구리 [169]
부산 [700],대전복합[300]
부산 [700],대구동양[802]
부산 [700],홍대조치원[354]
부산 [700],서울경부[010]
부산 [700],선산(휴)상행[813]
부산 [700],성남(분당)[120]
부산 [700],세종시 [352]
부산 [700],순천 [515]
부산 [700],여수 [510]
부산 [700],여천 [509]
부산 [700],용인 [150]
부산 [700],용인신갈[111]
부산 [700],의정부 [170]
부산 [700],인천 [100]
부산 [700],전주공용[602]
부산 [700],청주 [400]
서부산(사상)[703],광주 [500]
서부산(사상)[703],서울경부[010]
서부산(사상)[703],선산(휴)상행[813]
서부산(사상)[703],섬진강 [527]
서부산(사상)[703],성남(분당)[120]
서부산(사상)[703],세종시 [352]
서부산(사상)[703],순천종합[516]
서부산(사상)[703],여수 [510]
서부산(사상)[703],여천 [509]
서부산(사상)[703],용인 [150]
서부산(사상)[703],용인신갈[111]
서부산(사상)[703],인천 [100]
서부산(사상)[703],홍대조치원[354]
삼척 [220],서울경부[010]
삼척 [220],횡성(휴)상행[239]
삼척 [220],홍대조치원[354]
삼호 [591],서울 [020]
삼호 [591],정안(휴)상행[316]
상봉 [040],광주 [500]
상봉 [040],대전복합[300]
상봉 [040],전주 [602]
상봉 [040],정안(휴)하행[315]
상봉 [040],청주 [400]
상주 [825],서울경부[010]
상주 [825],홍대조치원[354]
서대구 [805],광주 [500]
서대구 [805],내서 [706]
서대구 [805],대전복합[300]
서대구 [805],홍대조치원[354]
서대구 [805],마산 [705]
서대구 [805],서울경부[010]
서대구 [805],선산(휴)상행[813]
서대구 [805],성남(분당)[120]
서대구 [805],순천 [515]
서대구 [805],의정부 [170]
서대구 [805],인천 [100]
서대구 [805],전주 [602]
서대구 [805],진주 [722]
서대구 [805],청주 [400]
서대구 [805],춘천 [250]
서수원 [109],남원 [625]
서수원 [109],덕과 [626]
서수원 [109],오산 [127]
서수원 [109],인천 [100]
서울경부[010],선택
서울경부[010],강릉 [200]
서울경부[010],경주 [815]
서울경부[010],고대세종[355]
서울경부[010],공주 [320]
서울경부[010],구미 [810]
서울경부[010],금산 [330]
서울경부[010],김천 [820]
서울경부[010],김해 [735]
서울경부[010],김해장유[736]
서울경부[010],내서 [706]
서울경부[010],대전복합[300]
서울경부[010],대전청사[305]
서울경부[010],대구한진[801]
서울경부[010],동해 [210]
서울경부[010],마산 [705]
서울경부[010],밀양 [750]
서울경부[010],부산 [700]
서울경부[010],서부산(사상)[703]
서울경부[010],삼척 [220]
서울경부[010],상주 [825]
서울경부[010],서대구 [805]
서울경부[010],선산(휴)하행[812]
서울경부[010],세종시 [352]
서울경부[010],세종청사[353]
서울경부[010],속초 [230]
서울경부[010],천안아산역[343]
서울경부[010],아산서부[341]
서울경부[010],아산온양[340]
서울경부[010],안성 [130]
서울경부[010],안성공도[133]
서울경부[010],안성대림[137]
서울경부[010],안성중대[131]
서울경부[010],안성풍림[132]
서울경부[010],안성한경[134]
서울경부[010],안성회관[138]
서울경부[010],양양 [270]
서울경부[010],여주 [140]
서울경부[010],영천 [845]
서울경부[010],용인 [150]
서울경부[010],용인유방[149]
서울경부[010],울산 [715]
서울경부[010],원주 [240]
서울경부[010],이천 [160]
서울경부[010],인삼랜드(휴)하행[324]
서울경부[010],점촌 [850]
서울경부[010],제천 [450]
서울경부[010],조치원 [350]
서울경부[010],진주 [722]
서울경부[010],진주혁신도시 [724]
서울경부[010],창원 [710]
서울경부[010],창원역 [711]
서울경부[010],천안 [310]
서울경부[010],청주 [400]
서울경부[010],통영 [730]
서울경부[010],평택 [180]
서울경부[010],평택대 [175]
서울경부[010],포항 [830]
서울경부[010],황간 [440]
서울경부[010],횡성(휴)하행[238]
서울경부[010],홍대조치원[354]
서울경부[010],안동[840]
서울경부[010],영덕[843]
서울경부[010],영주[835]
서울경부[010],풍기[834]
서울경부[010],예천[851]
서울경부[010],경북도청[852]
서울경부[010],울진[853]
서울경부[010],광비[854]
서울경부[010],삼근[855]
서울경부[010],평해[844]
서울경부[010],춘천[250]
서울경부[010],철원[148]
서울경부[010],장현[187]
서울경부[010],포천[146]
서울경부[010],운천[186]
서울경부[010],신철원[147]
서울경부[010],
서울경부[010],영월[272]
서울경부[010],영천망정동[846]
서울경부[010],단양[460]
서울경부[010],세종연구단지[351]
선산(휴)하행[812],경주 [815]
선산(휴)하행[812],김해 [735]
선산(휴)하행[812],김해장유[736]
선산(휴)하행[812],내서 [706]
선산(휴)하행[812],대구한진[801]
선산(휴)하행[812],대구동양[802]
선산(휴)하행[812],마산 [705]
선산(휴)하행[812],부산 [700]
선산(휴)하행[812],서부산(사상)[703]
선산(휴)하행[812],서대구 [805]
선산(휴)하행[812],영천 [845]
선산(휴)하행[812],울산 [715]
선산(휴)하행[812],창원 [710]
선산(휴)하행[812],창원역 [711]
선산(휴)하행[812],포항 [830]
선산(휴)상행[813],경주 [815]
선산(휴)상행[813],서울경부[010]
선산(휴)상행[813],성남(분당)[120]
선산(휴)상행[813],용인 [150]
선산(휴)상행[813],용인신갈[111]
선산(휴)상행[813],의정부 [170]
선산(휴)상행[813],인천 [100]
선산(휴)상행[813],천안 [310]
선산(휴)상행[813],청주 [400]
선산(휴)상행[813],파주문산[045]
선산(휴)상행[813],파주운정[046]
성남(분당)[120],광주 [500]
성남(분당)[120],내서 [706]
성남(분당)[120],대구한진[801]
성남(분당)[120],마산 [705]
성남(분당)[120],부산 [700]
성남(분당)[120],서부산(사상)[703]
성남(분당)[120],서대구 [805]
성남(분당)[120],선산(휴)하행[812]
성남(분당)[120],인삼랜드(휴)하행[324]
성남(분당)[120],전주 [602]
성남(분당)[120],정안(휴)하행[315]
성남(분당)[120],진주 [722]
성남(분당)[120],창원 [710]
성남(분당)[120],창원역 [711]
성남(분당)[120],통영 [730]
세종연구단지[351],서울경부[010]
세종시 [352],마산 [705]
세종시 [352],부산 [700]
세종시 [352],서부산(사상)[703]
세종시 [352],서울경부[010]
세종시 [352],창원 [710]
세종시 [352],홍대조치원[354]
세종청사[353],서울경부[010]
세종청사[353],홍대조치원[354]
속초 [230],광명(KTX역)[125]
속초 [230],홍대조치원[354]
속초 [230],서울경부[010]
속초 [230],인천 [100]
속초 [230],광명(철산역)[126]
속초 [230],횡성(휴)상행[239]
수원 [110],광주 [500]
수원 [110],대전복합[300]
수원 [110],목포 [505]
수원 [110],순천종합[516]
수원 [110],여수 [510]
수원 [110],여천 [509]
수원 [110],인삼랜드(휴)하행[324]
수원 [110],정안(휴)하행[315]
수원 [110],진주 [722]
순창 [645],서울 [020]
순천 [515],대구동양[802]
순천 [515],부산 [700]
순천 [515],서대구 [805]
순천 [515],서울 [020]
순천 [515],인천 [100]
순천 [515],정안(휴)상행[316]
순천종합[516],김해 [735]
순천종합[516],남청주 [402]
순천종합[516],당진 [312]
순천종합[516],대전시외[301]
순천종합[516],서부산(사상)[703]
순천종합[516],송도 [106]
순천종합[516],수원 [110]
순천종합[516],신갈시외[114]
순천종합[516],영통 [112]
순천종합[516],울산시외[714]
순천종합[516],인천공항[105]
순천종합[516],청사시외[306]
순천종합[516],청주시외[401]
순천종합[516],통영 [730]
시흥(시화)[195],정안(휴)하행[315]
시흥(시화)[195],광주 [500]
신갈시외[114],순천종합[516]
천안아산역[343],서울경부[010]
천안아산역[343],홍대조치원[354]
아산서부[341],서울경부[010]
아산서부[341],홍대조치원[354]
아산온양[340],서울경부[010]
아산온양[340],인천 [100]
아산온양[340],홍대조치원[354]
안성 [130],광주 [500]
안성 [130],서울경부[010]
안성 [130],정안(휴)하행[315]
안성 [130],홍대조치원[354]
안성공도[133],서울경부[010]
안성공도[133],홍대조치원[354]
안성대림[137],서울경부[010]
안성대림[137],홍대조치원[354]
안성중대[131],광주 [500]
안성중대[131],서울경부[010]
안성중대[131],정안(휴)하행[315]
안성중대[131],홍대조치원[354]
안성풍림[132],광주 [500]
안성풍림[132],서울경부[010]
안성풍림[132],정안(휴)하행[315]
안성풍림[132],홍대조치원[354]
안성한경[134],서울경부[010]
안성한경[134],홍대조치원[354]
안성회관[138],서울경부[010]
안성회관[138],홍대조치원[354]
양양 [270],서울경부[010]
양양 [270],홍대조치원[354]
여수 [510],군산 [610]
여수 [510],남청주 [402]
여수 [510],당진 [312]
여수 [510],대전시외[301]
여수 [510],대전시외[302]
여수 [510],부산 [700]
여수 [510],서부산(사상)[703]
여수 [510],서울 [020]
여수 [510],송도 [106]
여수 [510],수원 [110]
여수 [510],울산시외[714]
여수 [510],인천 [100]
여수 [510],인천공항[105]
여수 [510],정안(휴)상행[316]
여수 [510],청사시외[306]
여수 [510],청주시외[401]
여수 [510],통영 [730]
여주 [140],서울경부[010]
여주 [140],홍대조치원[354]
여천 [509],군산 [610]
여천 [509],부산 [700]
여천 [509],서부산(사상)[703]
여천 [509],서울 [020]
여천 [509],수원 [110]
여천 [509],인천 [100]
여천 [509],정안(휴)상행[316]
연무대 [380],서울 [020]
연무대 [380],정안(휴)상행[316]
영산포 [565],서울 [020]
영산포 [565],정안(휴)상행[316]
영암 [570],서울 [020]
영주 [835],서울경부[010]
영주 [835],동대구 [801]
영천 [845],서울경부[010]
영천망정동[846],서울경부[010]
예천 [851],서울경부[010]
오산 [127],광명(KTX역)[125]
오산 [127],남원 [625]
오산 [127],덕과 [626]
오산 [127],서수원 [109]
오산 [127],인천 [100]
오산 [127],전주공용[602]
오산 [127],광명(철산역)[126]
오산 [127],호남제일문[605]
용인 [150],광주 [500]
용인 [150],마산 [705]
용인 [150],부산 [700]
용인 [150],서부산(사상)[703]
용인 [150],서울경부[010]
용인 [150],선산(휴)하행[812]
용인 [150],인삼랜드(휴)하행[324]
용인 [150],정안(휴)하행[315]
용인 [150],진주 [722]
용인 [150],창원 [710]
용인 [150],홍대조치원[354]
용인신갈[111],광주 [500]
용인신갈[111],마산 [705]
용인신갈[111],부산 [700]
용인신갈[111],서부산(사상)[703]
용인신갈[111],선산(휴)하행[812]
용인신갈[111],인삼랜드(휴)하행[324]
용인신갈[111],정안(휴)하행[315]
용인신갈[111],진주 [722]
용인신갈[111],창원 [710]
용인신갈[111],홍대조치원[354]
용인유방[149],서울경부[010]
용인유방[149],홍대조치원[354]
울산 [715],광주 [500]
울산 [715],대전복합[300]
울산 [715],대구한진[801]
울산 [715],서울경부[010]
울산 [715],선산(휴)상행[813]
울산 [715],전주 [602]
울산 [715],천안 [310]
울산 [715],홍대조치원[354]
울산신복[716],광주 [500]
울산신복[716],대전복합[300]
울산신복[716],서울경부[010]
울산신복[716],선산(휴)상행[813]
울산신복[716],전주 [602]
울산신복[716],천안 [310]
울산신복[716],홍대조치원[354]
원주 [240],강릉 [200]
원주 [240],광주 [500]
원주 [240],서울경부[010]
원주 [240],홍대조치원[354]
유성 [360],광주 [500]
유성 [360],서울 [020]
의정부 [170],광주 [500]
의정부 [170],대구동양[802]
의정부 [170],부산 [700]
의정부 [170],서대구 [805]
의정부 [170],선산(휴)하행[812]
의정부 [170],정안(휴)하행[315]
이천 [160],서울경부[010]
이천 [160],홍대조치원[354]
익산 [615],서울 [020]
익산 [615],안산 [190]
익산 [615],인천 [100]
익산 [615],정안(휴)상행[316]
익산팔봉[616],서울 [020]
익산팔봉[616],안산 [190]
익산팔봉[616],인천 [100]
익산팔봉[616],정안(휴)상행[316]
인삼랜드(휴)상행[325],대전시외[301]
인삼랜드(휴)상행[325],홍대조치원[354]
인삼랜드(휴)상행[325],서울경부[010]
인삼랜드(휴)상행[325],성남(분당)[120]
인삼랜드(휴)상행[325],수원 [110]
인삼랜드(휴)상행[325],용인 [150]
인삼랜드(휴)상행[325],용인신갈[111]
인삼랜드(휴)상행[325],인천 [100]
인삼랜드(휴)하행[324],진주 [722]
인삼랜드(휴)하행[324],통영 [730]
인삼랜드(휴)하행[324],홍대조치원[354]
인천 [100],광주 [500]
인천 [100],남원 [625]
인천 [100],대전복합[300]
인천 [100],덕과 [626]
인천 [100],대구한진[801]
인천 [100],목포 [505]
인천 [100],부산 [700]
인천 [100],서부산(사상)[703]
인천 [100],서대구 [805]
인천 [100],선산(휴)하행[812]
인천 [100],속초 [230]
인천 [100],순천 [515]
인천 [100],여수 [510]
인천 [100],여천 [509]
인천 [100],익산 [615]
인천 [100],인삼랜드(휴)하행[324]
인천 [100],전주공용[602]
인천 [100],정안(휴)하행[315]
인천 [100],진주 [722]
인천 [100],횡성(휴)하행[238]
장성 [583],서울 [020]
전주 [602],고양화정[115]
전주 [602],광주 [500]
전주 [602],대전복합[300]
전주 [602],대전청사[305]
전주 [602],대구동양[802]
전주 [602],
전주 [602],부산 [700]
전주 [602],상봉 [040]
전주 [602],서대구 [805]
전주 [602],서울 [020]
전주 [602],성남(분당)[120]
전주 [602],울산 [715]
전주 [602],인천 [100]
전주 [602],광명(KTX역)[125]
전주 [602],오산 [127]
전주 [602],정안(휴)상행[316]
전주 [602],광명(철산역)[126]
호남제일문[605],고양화정[115]
호남제일문[605],광명(KTX역)[125]
호남제일문[605],광주 [500]
호남제일문[605],대전복합[300]
호남제일문[605],대전청사[305]
호남제일문[605],
호남제일문[605],상봉 [040]
호남제일문[605],서울 [020]
호남제일문[605],성남(분당)[120]
호남제일문[605],오산 [127]
호남제일문[605],인천 [100]
호남제일문[605],정안(휴)상행[316]
호남제일문[605],광명(철산역)[126]
점촌 [850],서울경부[010]
점촌 [850],홍대조치원[354]
정안(휴)상행[316],고양화정[115]
정안(휴)상행[316],홍대조치원[354]
정안(휴)상행[316],상봉 [040]
정안(휴)상행[316],서울호남[020]
정안(휴)상행[316],성남(분당)[120]
정안(휴)상행[316],수원 [110]
정안(휴)상행[316],시흥(시화)[195]
정안(휴)상행[316],안산 [190]
정안(휴)상행[316],안성 [130]
정안(휴)상행[316],용인 [150]
정안(휴)상행[316],용인신갈[111]
정안(휴)상행[316],의정부 [170]
정안(휴)상행[316],인천 [100]
정안(휴)상행[316],천안 [310]
정안(휴)하행[315],광주 [500]
정안(휴)하행[315],목포 [505]
정안(휴)하행[315],순천 [515]
정안(휴)하행[315],여수 [510]
정안(휴)하행[315],여천 [509]
정안(휴)하행[315],익산 [615]
정안(휴)하행[315],전주공용[602]
정안(휴)하행[315],호남제일문[605]
정읍 [630],광주 [500]
정읍 [630],서울 [020]
정읍 [630],정안(휴)상행[316]
제천 [450],서울경부[010]
조치원 [350],서울경부[010]
조치원 [350],홍대조치원[354]
진주 [722],광주 [500]
진주 [722],대구중앙[804]
진주 [722],대전복합[300]
진주 [722],홍대조치원[354]
진주 [722],서대구 [805]
진주 [722],서울경부[010]
진주 [722],성남(분당)[120]
진주 [722],수원 [110]
진주 [722],용인 [150]
진주 [722],용인신갈[111]
진주 [722],인삼랜드(휴)상행[325]
진주 [722],인천 [100]
진주혁신도시 [724],서울경부[010]
진주혁신도시 [724],원주[240]
진주혁신도시 [724],인삼랜드(휴)상행[325]
창원 [710],홍대조치원[354]
창원 [710],서울경부[010]
창원 [710],선산(휴)상행[813]
창원 [710],성남(분당)[120]
창원 [710],세종시 [352]
창원 [710],용인 [150]
창원 [710],용인신갈[111]
창원 [710],파주문산[045]
창원 [710],파주운정[046]
창원역 [711],홍대조치원[354]
창원역 [711],서울경부[010]
창원역 [711],선산(휴)상행[813]
창원역 [711],성남(분당)[120]
청주 [400],광주 [500]
청주 [400],대구한진[801]
청주 [400],홍대조치원[354]
청주 [400],부산 [700]
청주 [400],상봉 [040]
청주 [400],서대구 [805]
청주 [400],서울경부[010]
청주 [400],선산(휴)하행[812]
춘천 [250],광주 [500]
춘천 [250],대구중앙[804]
춘천 [250],서대구 [805]
춘천 [250],서울경부[010]
통영 [730],광양 [520]
통영 [730],광주 [500]
통영 [730],대전시외[301]
통영 [730],동광양 [525]
통영 [730],서울경부[010]
통영 [730],서울남부[050]
통영 [730],성남(분당)[120]
통영 [730],순천종합[516]
통영 [730],여수 [510]
통영 [730],인삼랜드(휴)상행[325]
통영 [730],홍대조치원[354]
파주문산[045],강릉 [200]
파주문산[045],대전복합[300]
파주문산[045],대전청사[305]
파주문산[045],마산 [705]
파주문산[045],선산(휴)하행[812]
파주문산[045],창원 [710]
파주문산[045],횡성(휴)하행[238]
파주운정[046],강릉 [200]
파주운정[046],대전복합[300]
파주운정[046],대전청사[305]
파주운정[046],마산 [705]
파주운정[046],선산(휴)하행[812]
파주운정[046],창원 [710]
파주운정[046],횡성(휴)하행[238]
평택 [180],서울경부[010]
평택 [180],홍대조치원[354]
평택대 [175],서울경부[010]
평택대 [175],홍대조치원[354]
포항 [830],광주 [500]
포항 [830],대전복합[300]
포항 [830],서울경부[010]
포항 [830],선산(휴)상행[813]
포항 [830],홍대조치원[354]
함평 [581],서울 [020]
해남 [595],서울 [020]
해남 [595],정안(휴)상행[316]
화순 [586],서울호남[020]
황간 [440],서울경부[010]
황간 [440],홍대조치원[354]
홍대조치원[354],서울경부[010]
회진 [577],서울 [020]
횡성(휴)하행[238],강릉 [200]
횡성(휴)하행[238],동해 [210]
횡성(휴)하행[238],삼척 [220]
횡성(휴)하행[238],속초 [230]
횡성(휴)하행[238],홍대조치원[354]
횡성(휴)상행[239],고양화정[115]
횡성(휴)상행[239],대전복합[300]
횡성(휴)상행[239],홍대조치원[354]
횡성(휴)상행[239],서울경부[010]
횡성(휴)상행[239],인천 [100]
횡성(휴)상행[239],파주문산[045]
인천공항[105],광주 [500]
인천공항[105],목포 [505]
인천공항[105],여수 [510]
인천공항[105],순천시외[516]
인천공항[105],동광양 [525]
인천공항[105],광양 [520]
천안*ⓔ[310],서울경부[010]
천안*ⓔ[310],대전복합[300]
천안*ⓔ[310],울산 [715]
천안*ⓔ[310],선산(휴)하행[812]
천안*ⓔ[310],광주 [500]
천안*ⓔ[310],익산 [615]
천안*ⓔ[310],정안(휴)[456]
센트럴*ⓔ[020],김제 [620]
센트럴*ⓔ[020],연무대 [380]
센트럴*ⓔ[020],논산 [370]
센트럴*ⓔ[020],강진 [535]
센트럴*ⓔ[020],광주 [500]
센트럴*ⓔ[020],군산 [610]
센트럴*ⓔ[020],남원 [625]
센트럴*ⓔ[020],고흥 [540]
센트럴*ⓔ[020],녹동 [545]
센트럴*ⓔ[020],담양 [582]
센트럴*ⓔ[020],목포 [505]
센트럴*ⓔ[020],보성 [554]
센트럴*ⓔ[020],벌교 [555]
센트럴*ⓔ[020],순천 [515]
센트럴*ⓔ[020],여수 [510]
센트럴*ⓔ[020],여천 [509]
센트럴*ⓔ[020],영광 [560]
센트럴*ⓔ[020],나주 [530]
센트럴*ⓔ[020],영산포 [565]
센트럴*ⓔ[020],완도 [575]
센트럴*ⓔ[020],유성 [360]
센트럴*ⓔ[020],익산 [615]
센트럴*ⓔ[020],전주 [600]
센트럴*ⓔ[020],정읍 [630]
센트럴*ⓔ[020],진도 [590]
센트럴*ⓔ[020],해남 [595]
센트럴*ⓔ[020],정안(휴)[456]
안산*ⓔ[190],광주 [500]
안산*ⓔ[190],익산 [615]
안산*ⓔ[190],정안(휴)[456]
정안(휴)*ⓔ[456],광주 [500]
정안(휴)*ⓔ[456],익산 [615]
정안(휴)*ⓔ[456],목포 [505]
정안(휴)*ⓔ[456],전주공용[600]
정안(휴)*ⓔ[456],김제 [620]
정안(휴)*ⓔ[456],연무대 [380]
정안(휴)*ⓔ[456],논산 [370]
정안(휴)*ⓔ[456],강진 [535]
정안(휴)*ⓔ[456],군산 [610]
정안(휴)*ⓔ[456],남원 [625]
정안(휴)*ⓔ[456],고흥 [540]
정안(휴)*ⓔ[456],녹동 [545]
정안(휴)*ⓔ[456],담양 [582]
정안(휴)*ⓔ[456],보성 [554]
정안(휴)*ⓔ[456],벌교 [555]
정안(휴)*ⓔ[456],순천 [515]
정안(휴)*ⓔ[456],여수 [510]
정안(휴)*ⓔ[456],영광 [560]
정안(휴)*ⓔ[456],나주 [530]
정안(휴)*ⓔ[456],영산포 [565]
정안(휴)*ⓔ[456],완도 [575]
정안(휴)*ⓔ[456],정읍 [630]
정안(휴)*ⓔ[456],진도 [590]
정안(휴)*ⓔ[456],해남 [595]
